OpCode	Class
aaa	Adjust
aad	Adjust
aam	Adjust
aas	Adjust
daa	Adjust
das	Adjust
adc	Arithmetic
add	Arithmetic
dec	Arithmetic
div	Arithmetic
fabs	Arithmetic
fadd	Arithmetic
faddp	Arithmetic
fchs	Arithmetic
fdiv	Arithmetic
fdivp	Arithmetic
fdivr	Arithmetic
fdivrp	Arithmetic
fiadd	Arithmetic
fidiv	Arithmetic
fidivr	Arithmetic
fimul	Arithmetic
fisub	Arithmetic
fisubr	Arithmetic
fmul	Arithmetic
fmulp	Arithmetic
fprem	Arithmetic
fscale	Arithmetic
fstsw	Arithmetic
fsub	Arithmetic
fsubr	Arithmetic
idiv	Arithmetic
imul	Arithmetic
inc	Arithmetic
mul	Arithmetic
neg	Arithmetic
paddusw	Arithmetic
psubq	Arithmetic
psubsb	Arithmetic
sbb	Arithmetic
sub	Arithmetic
bound	Array
and	Bitwise
andnps	Bitwise
bsr	Bitwise
bt	Bitwise
bts	Bitwise
not	Bitwise
or	Bitwise
orps	Bitwise
sal	Bitwise
sar	Bitwise
shl	Bitwise
shr	Bitwise
shrd	Bitwise
xor	Bitwise
rdtsc	Clock
ftst	Compare
ud2	Exception
clc	Flag
cld	Flag
cli	Flag
cmc	Flag
fnclex	Flags
call	Function
enter	Function
leave	Function
nop	Function
retf	Function
retn	Function
int	Interrupt
into	Interrupt
in	IO
out	IO
ja	Jump
jb	Jump
jbe	Jump
jecxz	Jump
jg	Jump
jge	Jump
jl	Jump
jle	Jump
jmp	Jump
jnb	Jump
jno	Jump
jnp	Jump
jns	Jump
jnz	Jump
jo	Jump
jp	Jump
js	Jump
jz	Jump
fbld	Load
fild	Load
fld	Load
fld1	Load
fldcw	Load
fldenv	Load
fldlg2	Load
fldln2	Load
fldpi	Load
fldz	Load
lahf	Load
ldmxcsr	Load
lds	Load
lea	Load
les	Load
lodsb	Load
lodsd	Load
lodsw	Load
fldl2e	Loead
fyl2x	Logarithm
arpl	Logic
cmp	Logic
cmps	Logic
cmpsb	Logic
cmpsd	Logic
cmpxchg	Logic
fcom	Logic
fcomip	Logic
fcomp	Logic
ficom	Logic
ficomp	Logic
fxam	Logic
test	Logic
xlat	Lookup
loop	Loop
loope	Loop
loopne	Loop
rep	Loop
repe	Loop
repne	Loop
cdq	MemoryConvert
cwde	MemoryConvert
fcmovb	Move
fcmovnbe	Move
fcmovu	Move
fxch	Move
mov	Move
movsb	Move
movsd	Move
movsw	Move
movsx	Move
movzx	Move
xchg	Move
frstor	Restore
rcl	Bitwise
rcr	Bitwise
rol	Bitwise
ror	Bitwise
setb	Set
setl	Set
setle	Set
setnl	Set
setnle	Set
setnz	Set
seto	Set
setz	Set
pop	Stack
popa	Stack
popf	Stack
push	Stack
pusha	Stack
pushf	Stack
fist	Store
fistp	Store
fisttp	Store
fnsave	Store
fnstcw	Store
fnstenv	Store
fnstsw	Store
fsave	Store
fst	Store
fstcw	Store
fstp	Store
sahf	Store
stc	Store
std	Store
sti	Store
stmxcsr	Store
stosb	Store
stosd	Store
stosw	Store
scasb	String
scasd	String
lock	Sync
wait	Sync
fcos	Trig
fpatan	Trig
fptan	Trig
1	Unknown
10	Unknown
11	Unknown
12	Unknown
13	Unknown
14	Unknown
15	Unknown
18	Unknown
2	Unknown
20	Unknown
23	Unknown
3	Unknown
4	Unknown
5	Unknown
6	Unknown
7	Unknown
7ve	Unknown
8	Unknown
8sb	Unknown
9	Unknown
